entry_id,hearing_date,decision,evidence,source_quote,traceability_ok,review_flags,candidate_statement_type,top_3_JEE_candidates,JEE_similarity_values,top_3_JEE_definitions,proposed_primary_JEE_area,proposed_secondary_JEE_area,JEE_mapping_status,JEE_primary_similarity,JEE_secondary_similarity,JEE_inclusion_rule,JEE_exclusion_rules_considered,JEE_evidence_excerpt,JEE_ambiguous,JEE_all_candidates_rejected,top_3_DQ_candidates,DQ_similarity_values,top_3_DQ_definitions,proposed_primary_DQ_element,proposed_secondary_DQ_element,DQ_mapping_status,DQ_primary_similarity,DQ_secondary_similarity,DQ_evidence_excerpt,DQ_observable_indicator,DQ_exclusion_rules_considered,DQ_ambiguity_notes,ambiguity_notes,representation,human_review_required,human_candidate_statement_type,human_JEE_decision,human_primary_JEE,human_secondary_JEE,human_JEE_evidence,human_JEE_confidence,human_JEE_rationale,human_DQ_decision,human_primary_DQ,human_secondary_DQ,human_DQ_evidence,human_DQ_confidence,human_DQ_rationale,human_policy_vs_inquiry,human_overall_rationale,reviewer_name,review_date,review_status,deferred_flag,completed_at,last_touched_at,session_id
phase1-182,2023-12-11,Regulations will be brought in to prohibit staff movement between care homes as a matter of law.,"According to him, at a Covid-O meeting on 15 September 2020, it was agreed that regulations would be brought in to prohibit staff movement between care homes as a matter of law.","According to him, at a Covid-O meeting on 15 September 2020, it was agreed that regulations would be brought in to prohibit staff movement between care homes as a matter of law.",True,[],other_candidate,R2:0.3235; P7:0.3164; P4:0.2982,0.3235; 0.3164; 0.2982,"R2 (Linking public health and security authorities) [0.3235]: Development and implementation of a MoU or other similar framework outlining roles, responsibilities and best practices for sharing relevant information between || P7 (Biosafety and biosecurity) [0.3164]: Implementation of a comprehensive, sustainable and legally embedded national oversight programme for biosafety and biosecurity, including the safe and secure us || P4 (Antimicrobial resistance (AMR)) [0.2982]: Decisive and comprehensive action to prevent the emergence and spread of AMR, which poses a substantial and evolving threat to disease control and health securi",,,no_supported_mapping,,,,R2:no_inclusion_cue_overlap_and_moderate_or_low_similarity; P7:unlikely_area_without_textual_inclusion_support; P4:unlikely_area_without_textual_inclusion_support,Regulations will be brought in to prohibit staff movement between care homes as a matter of law.,False,True,commitment_to_follow_through:0.2265; clear_values:0.2172; useful_information:0.2035,0.2265; 0.2172; 0.2035,"commitment_to_follow_through (Commitment to follow through) [0.2265]: Evidence of intent or mechanism to implement or act on the chosen course. || clear_values (Clear values) [0.2172]: Stated preferences, priorities or trade-offs that identify what mattered in the choice. || useful_information (Useful information) [0.2035]: Relevant facts, data, modelling, advice or uncertainty characterisation used in the passage.",,,insufficient_evidence,,,,,top retrieved DQ cards lacked explicit process evidence in text,Sparse DQ is acceptable; non-observation ≠ absence.,All top-3 retrieved JEE candidates rejected by inclusion/exclusion rules.,journal_cache_decision_evidence_source_quote__framework_card_embeddings,True,enacted_or_authorised_decision,replace,R4,,it was agreed that regulations would be brought in to prohibit staff movement between care homes as a matter of law.,high,"The decision establishes a facility infection-control measure by restricting staff movement between care homes. The legal mechanism is part of this specific measure, but the excerpt does not evidence the broader emergency legal-preparedness capacity required for a separate P1 mapping.",replace,commitment_to_follow_through,,"According to him, at a Covid-O meeting on 15 September 2020, it was agreed that regulations would be brought in to prohibit staff movement between care homes as a matter of law.",high,The passage records an authoritative agreement and identifies the implementation mechanism: introducing regulations to make the restriction legally enforceable.,policy_content,"This traceable passage records an authorised decision to introduce legally enforceable restrictions on staff movement between care homes. It supports R4 Infection prevention and control and demonstrates commitment to follow through through the planned regulations, but it does not independently support P1 Legal instruments as a second JEE capacity.",AL,2026-07-27,complete,,2026-07-27T01:19:32.284240+00:00,2026-07-27T01:19:32.284240+00:00,f0d1dd0b5d41
phase1-298,2023-12-13,A stop order was placed on further procurement of FFP3 respirators from 30 June 2020.,"It is perplexing that, just at the point when airborne transmission was becoming more widely acknowledged, a stop order was placed on further procurement of FFP3 respirators from 30 June 2020.",a stop order was placed on further procurement of FFP3 respirators from 30 June 2020.,True,[],other_candidate,P4:0.3619; PoE:0.3120; R4:0.3062,0.3619; 0.3120; 0.3062,"P4 (Antimicrobial resistance (AMR)) [0.3619]: Decisive and comprehensive action to prevent the emergence and spread of AMR, which poses a substantial and evolving threat to disease control and health securi || PoE (Points of entry and border health) [0.3120]: Timely detection of and effective response to any potential hazards that occur at PoEs. || R4 (Infection prevention and control) [0.3062]: Prevent HCAIs and emergence and spread of AMR.",,,no_supported_mapping,,,,P4:unlikely_area_without_textual_inclusion_support; PoE:no_inclusion_cue_overlap_and_moderate_or_low_similarity; R4:no_inclusion_cue_overlap_and_moderate_or_low_similarity,A stop order was placed on further procurement of FFP3 respirators from 30 June 2020.,False,True,useful_information:0.2675; clear_values:0.2414; commitment_to_follow_through:0.1982,0.2675; 0.2414; 0.1982,"useful_information (Useful information) [0.2675]: Relevant facts, data, modelling, advice or uncertainty characterisation used in the passage. || clear_values (Clear values) [0.2414]: Stated preferences, priorities or trade-offs that identify what mattered in the choice. || commitment_to_follow_through (Commitment to follow through) [0.1982]: Evidence of intent or mechanism to implement or act on the chosen course.",,,insufficient_evidence,,,,,top retrieved DQ cards lacked explicit process evidence in text,Sparse DQ is acceptable; non-observation ≠ absence.,All top-3 retrieved JEE candidates rejected by inclusion/exclusion rules.,journal_cache_decision_evidence_source_quote__framework_card_embeddings,True,enacted_or_authorised_decision,replace,R4,,a stop order was placed on further procurement of FFP3 respirators from 30 June 2020.,high,"The passage records a procurement decision directly affecting the availability of FFP3 respirators, which are PPE used for infection prevention and control in healthcare settings.",replace,commitment_to_follow_through,,a stop order was placed on further procurement of FFP3 respirators from 30 June 2020.,high,The passage shows that the procurement decision was implemented through a formal stop order with a specified effective date.,policy_content,"This traceable entry records an enacted COVID-19 procurement decision to stop further purchases of FFP3 respirators from a specified date. It affects infection-prevention capacity and demonstrates implementation through a formal stop order, although the passage does not explain the reasoning behind the decision.",AL,2026-07-27,complete,,2026-07-27T01:22:10.771719+00:00,2026-07-27T01:22:10.771719+00:00,f0d1dd0b5d41
phase1-142,2023-12-07,The Ask for ANI scheme was established to assist victims of domestic abuse.,We set up the Ask for ANI scheme.,We set up the Ask for ANI scheme.,True,[],other_candidate,R4:0.2798; P3:0.2638; RE:0.2528,0.2798; 0.2638; 0.2528,"R4 (Infection prevention and control) [0.2798]: Prevent HCAIs and emergence and spread of AMR. || P3 (IHR coordination, National IHR Focal Point functions and advocacy) [0.2638]: A mechanism for multisectoral/multidisciplinary coordination, communication and partnerships to detect, assess and respond to any public health event or risk. A || RE (Radiation emergencies) [0.2528]: Timely detection and effective response to potential radiological emergencies and nuclear accidents in a cross-sectoral coordinated manner.",,,insufficient_evidence,,,,R4:no_inclusion_cue_overlap_and_moderate_or_low_similarity; P3:no_inclusion_cue_overlap_and_moderate_or_low_similarity; RE:unlikely_area_without_textual_inclusion_support,The Ask for ANI scheme was established to assist victims of domestic abuse.,False,True,commitment_to_follow_through:0.1403; sound_reasoning:0.1201; creative_alternatives:0.1175,0.1403; 0.1201; 0.1175,"commitment_to_follow_through (Commitment to follow through) [0.1403]: Evidence of intent or mechanism to implement or act on the chosen course. || sound_reasoning (Sound reasoning) [0.1201]: Linking alternatives, information and values to justify why a course was preferred. || creative_alternatives (Creative alternatives) [0.1175]: Evidence that more than one actionable option or course of action was generated or compared.",,,insufficient_evidence,,,,,top retrieved DQ cards lacked explicit process evidence in text,Sparse DQ is acceptable; non-observation ≠ absence.,All top-3 retrieved JEE candidates rejected by inclusion/exclusion rules.,journal_cache_decision_evidence_source_quote__framework_card_embeddings,True,implementation_statement,insufficient_evidence,,,,high,The passage confirms that the Ask for ANI scheme was set up but does not describe its purpose or function sufficiently to determine whether a JEE capacity is involved.,replace,commitment_to_follow_through,,We set up the Ask for ANI scheme.,high,"The passage confirms that the scheme was actually established, providing direct evidence that the policy action was implemented.",policy_content,"This traceable passage records implementation of the named Ask for ANI scheme and demonstrates follow-through. However, the displayed source does not state that it assisted victims of domestic abuse or otherwise explain its function, so no JEE mapping can be determined from this excerpt.",AL,2026-07-27,complete,,2026-07-27T01:24:16.443426+00:00,2026-07-27T01:24:16.443426+00:00,f0d1dd0b5d41
phase1-281,2023-12-13,An exemption should be created to permit friends or family to offer a person escaping abuse a temporary place to stay.,"We say that a parallel position to which no thought was given was equally necessary. That parallel position is through an exemption to permit friends or family to offer a person escaping abuse a temporary place to stay, an informal safe haven.","We say that a parallel position to which no thought was given was equally necessary. That parallel position is through an exemption to permit friends or family to offer a person escaping abuse a temporary place to stay, an informal safe haven.",True,[],recommendation,R2:0.2759; PoE:0.2581; R3:0.2563,0.2759; 0.2581; 0.2563,"R2 (Linking public health and security authorities) [0.2759]: Development and implementation of a MoU or other similar framework outlining roles, responsibilities and best practices for sharing relevant information between || PoE (Points of entry and border health) [0.2581]: Timely detection of and effective response to any potential hazards that occur at PoEs. || R3 (Health services provision) [0.2563]: Resilient health systems that are capable of delivering emergency related clinical care, and optimal utilization of health services while ensuring continuity of",,,no_supported_mapping,,,,R2:no_inclusion_cue_overlap_and_moderate_or_low_similarity; PoE:no_inclusion_cue_overlap_and_moderate_or_low_similarity; R3:no_inclusion_cue_overlap_and_moderate_or_low_similarity,An exemption should be created to permit friends or family to offer a person escaping abuse a temporary place to stay.,False,True,clear_values:0.2348; creative_alternatives:0.2204; sound_reasoning:0.2114,0.2348; 0.2204; 0.2114,"clear_values (Clear values) [0.2348]: Stated preferences, priorities or trade-offs that identify what mattered in the choice. || creative_alternatives (Creative alternatives) [0.2204]: Evidence that more than one actionable option or course of action was generated or compared. || sound_reasoning (Sound reasoning) [0.2114]: Linking alternatives, information and values to justify why a course was preferred.",,,insufficient_evidence,,,,,top retrieved DQ cards lacked explicit process evidence in text,Sparse DQ is acceptable; non-observation ≠ absence.,All top-3 retrieved JEE candidates rejected by inclusion/exclusion rules.,journal_cache_decision_evidence_source_quote__framework_card_embeddings,True,recommendation,no_mapping,,,,high,The passage proposes a social-protection exemption for people escaping domestic abuse but does not evidence a specific JEE preparedness or response capacity.,replace,clear_values,,an exemption to permit friends or family to offer a person escaping abuse a temporary place to stay,medium,The recommendation makes protection and temporary safety for people escaping abuse the explicit priority behind the proposed exemption.,policy_content,This traceable passage records a substantive recommendation to create an exemption from COVID restrictions so that people escaping domestic abuse could stay temporarily with friends or family. It expresses a clear protective value but does not map to a specific JEE capacity.,AL,2026-07-27,complete,,2026-07-27T01:26:41.595538+00:00,2026-07-27T01:26:41.595538+00:00,f0d1dd0b5d41
phase1-285,2023-12-13,Preventing domestic abuse needs to be a government priority and not an afterthought.,"Above all, my Lady, in another pandemic, victims of domestic abuse should not be left without support, isolated, lonely, frightened and abused. And preventing that abuse needs to be a government priority and not an afterthought.",And preventing that abuse needs to be a government priority and not an afterthought.,True,[],recommendation,P4:0.3430; P3:0.3199; P5:0.3118,0.3430; 0.3199; 0.3118,"P4 (Antimicrobial resistance (AMR)) [0.3430]: Decisive and comprehensive action to prevent the emergence and spread of AMR, which poses a substantial and evolving threat to disease control and health securi || P3 (IHR coordination, National IHR Focal Point functions and advocacy) [0.3199]: A mechanism for multisectoral/multidisciplinary coordination, communication and partnerships to detect, assess and respond to any public health event or risk. A || P5 (Zoonotic disease) [0.3118]: Functional animal health, public health systems and environmental health work individually and collaboratively together through documented mechanisms of coordin",,,no_supported_mapping,,,,P4:unlikely_area_without_textual_inclusion_support; P3:no_inclusion_cue_overlap_and_moderate_or_low_similarity; P5:unlikely_area_without_textual_inclusion_support,Preventing domestic abuse needs to be a government priority and not an afterthought.,False,True,clear_values:0.2707; commitment_to_follow_through:0.2145; creative_alternatives:0.1642,0.2707; 0.2145; 0.1642,"clear_values (Clear values) [0.2707]: Stated preferences, priorities or trade-offs that identify what mattered in the choice. || commitment_to_follow_through (Commitment to follow through) [0.2145]: Evidence of intent or mechanism to implement or act on the chosen course. || creative_alternatives (Creative alternatives) [0.1642]: Evidence that more than one actionable option or course of action was generated or compared.",clear_values,,ambiguous,0.2707,,Preventing domestic abuse needs to be a government priority and not an afterthought.,priority,recommendation≠commitment rule applied where relevant,Weak textual gate / moderate similarity,All top-3 retrieved JEE candidates rejected by inclusion/exclusion rules.,journal_cache_decision_evidence_source_quote__framework_card_embeddings,True,recommendation,no_mapping,,,,high,The passage recommends prioritising protection and support for victims of domestic abuse during future pandemics but does not evidence a specific JEE preparedness or response capacity.,accept,clear_values,,"victims of domestic abuse should not be left without support, isolated, lonely, frightened and abused. And preventing that abuse needs to be a government priority and not an afterthought.",high,"The passage explicitly prioritises the safety and support of victims of domestic abuse, clearly identifying protection of a vulnerable group as a government value.",policy_content,"This traceable passage is a retrospective recommendation that preventing domestic abuse and supporting victims should be prioritised in future pandemics. It is not an enacted COVID-19 decision, but it contains a clear statement of policy values.",AL,2026-07-27,complete,,2026-07-27T01:29:00.675600+00:00,2026-07-27T01:29:00.675600+00:00,f0d1dd0b5d41
phase1-362,2023-12-14,The government has published an ambitious UK Government Resilience Framework.,"This framework sets out how the government will strengthen the systems, structures and capabilities which underpin the UK resilience to all risks and hazards, including those which are yet to emerge.","the government has published an ambitious UK Government Resilience Framework which sets out how the government will strengthen the systems, structures and capabilities which underpin the UK resilience to all risks and hazards, including those which are yet to emerge.",True,[],enacted_or_authorised_decision,P4:0.3748; R2:0.3645; R1:0.3615,0.3748; 0.3645; 0.3615,"P4 (Antimicrobial resistance (AMR)) [0.3748]: Decisive and comprehensive action to prevent the emergence and spread of AMR, which poses a substantial and evolving threat to disease control and health securi || R2 (Linking public health and security authorities) [0.3645]: Development and implementation of a MoU or other similar framework outlining roles, responsibilities and best practices for sharing relevant information between || R1 (Health emergency management) [0.3615]: Multisectoral actors at national intermediate and primary public health response levels are well coordinated and have a common understanding of the priority ris",,,no_supported_mapping,,,,P4:unlikely_area_without_textual_inclusion_support; R2:retrieval_neighbour_without_inclusion_support; R1:retrieval_neighbour_without_inclusion_support,The government has published an ambitious UK Government Resilience Framework.,False,True,commitment_to_follow_through:0.2157; useful_information:0.2155; helpful_frame:0.2102,0.2157; 0.2155; 0.2102,"commitment_to_follow_through (Commitment to follow through) [0.2157]: Evidence of intent or mechanism to implement or act on the chosen course. || useful_information (Useful information) [0.2155]: Relevant facts, data, modelling, advice or uncertainty characterisation used in the passage. || helpful_frame (Helpful frame) [0.2102]: Clarifying what is being decided and what is not, including purpose, scope and perspective (Decision Education Foundation).",commitment_to_follow_through,helpful_frame,ambiguous,0.2157,0.2102,The government has published an ambitious UK Government Resilience Framework.,published,recommendation≠commitment rule applied where relevant,Weak textual gate / moderate similarity,All top-3 retrieved JEE candidates rejected by inclusion/exclusion rules.,journal_cache_decision_evidence_source_quote__framework_card_embeddings,True,implementation_statement,no_mapping,,,,high,The passage describes a broad all-risks government resilience framework but does not provide sufficiently specific public-health or IHR capacity content to support a JEE technical-area mapping.,replace,helpful_frame,commitment_to_follow_through,"the government has published an ambitious UK Government Resilience Framework which sets out how the government will strengthen the systems, structures and capabilities which underpin the UK resilience to all risks and hazards, including those which are yet to emerge.",medium,"The framework states its broad scope and objective of strengthening the systems, structures and capabilities supporting UK resilience. Its publication also provides some evidence of a formal mechanism for pursuing that objective.",policy_content,"This traceable passage reports the publication of a broad government resilience framework and explains its intended scope. It is substantive policy content and provides framing and limited implementation commitment, but it does not record the original decision to adopt the framework or support a specific JEE technical-area mapping.",AL,2026-07-27,complete,,2026-07-27T01:33:22.953085+00:00,2026-07-27T01:33:22.953085+00:00,f0d1dd0b5d41
phase1-405,2024-05-23,A National Situation Centre has been created as a permanent structure.,The National Situation Centre is now a permanent thing created to address challenges.,"So a National Situation Centre which is now a permanent thing, it's there along with our joint data analysis.",True,[],other_candidate,D1:0.3548; P3:0.3531; D2:0.3277,0.3548; 0.3531; 0.3277,"D1 (National laboratory system) [0.3548]: Effective use of a nationwide laboratory system, including all relevant sectors, capable of safely and accurately detecting and characterizing pathogens causing || P3 (IHR coordination, National IHR Focal Point functions and advocacy) [0.3531]: A mechanism for multisectoral/multidisciplinary coordination, communication and partnerships to detect, assess and respond to any public health event or risk. A || D2 (Surveillance) [0.3277]: (1) A functioning public health surveillance system capable of identifying potential events of concern for public health and health security. Enhanced national ",P3,D2,ambiguous_substantive,0.3531,0.3277,inclusion cue token overlap: ['centre'],D1:retrieval_neighbour_without_inclusion_support,A National Situation Centre has been created as a permanent structure.,True,False,useful_information:0.2215; commitment_to_follow_through:0.2069; helpful_frame:0.1754,0.2215; 0.2069; 0.1754,"useful_information (Useful information) [0.2215]: Relevant facts, data, modelling, advice or uncertainty characterisation used in the passage. || commitment_to_follow_through (Commitment to follow through) [0.2069]: Evidence of intent or mechanism to implement or act on the chosen course. || helpful_frame (Helpful frame) [0.1754]: Clarifying what is being decided and what is not, including purpose, scope and perspective (Decision Education Foundation).",useful_information,,ambiguous,0.2215,,A National Situation Centre has been created as a permanent structure.,data,recommendation≠commitment rule applied where relevant,Weak textual gate / moderate similarity,Low margin / weak cue overlap,journal_cache_decision_evidence_source_quote__framework_card_embeddings,True,implementation_statement,insufficient_evidence,,,,high,"The passage confirms that the National Situation Centre is permanent but does not describe its public-health, IHR or multisectoral coordination functions sufficiently to assign P3.",replace,commitment_to_follow_through,,a National Situation Centre which is now a permanent thing,high,"The passage confirms that the National Situation Centre was created and made permanent, providing direct evidence that the organisational change was implemented.",policy_content,"This traceable passage records the existence of a permanent National Situation Centre alongside joint data analysis. It demonstrates implementation of a durable organisational structure, but its specific public-health or IHR coordination role is not described sufficiently for a P3 mapping.",AL,2026-07-27,complete,,2026-07-27T01:37:50.294404+00:00,2026-07-27T01:37:50.294404+00:00,f0d1dd0b5d41
phase1-090,2023-12-01,Further work and reports were commissioned through Kemi Badenoch.,The witness contributed to the decision that further work and the reports be ultimately commissioned through Kemi Badenoch.,Did you also contribute to the decision that further work and the reports be ultimately commissioned through Kemi Badenoch?,True,[],other_candidate,P3:0.2604; R2:0.2298; D2:0.2293,0.2604; 0.2298; 0.2293,"P3 (IHR coordination, National IHR Focal Point functions and advocacy) [0.2604]: A mechanism for multisectoral/multidisciplinary coordination, communication and partnerships to detect, assess and respond to any public health event or risk. A || R2 (Linking public health and security authorities) [0.2298]: Development and implementation of a MoU or other similar framework outlining roles, responsibilities and best practices for sharing relevant information between || D2 (Surveillance) [0.2293]: (1) A functioning public health surveillance system capable of identifying potential events of concern for public health and health security. Enhanced national ",,,no_supported_mapping,,,,P3:no_inclusion_cue_overlap_and_moderate_or_low_similarity; R2:no_inclusion_cue_overlap_and_moderate_or_low_similarity; D2:no_inclusion_cue_overlap_and_moderate_or_low_similarity,Further work and reports were commissioned through Kemi Badenoch.,False,True,commitment_to_follow_through:0.3377; useful_information:0.3138; sound_reasoning:0.2904,0.3377; 0.3138; 0.2904,"commitment_to_follow_through (Commitment to follow through) [0.3377]: Evidence of intent or mechanism to implement or act on the chosen course. || useful_information (Useful information) [0.3138]: Relevant facts, data, modelling, advice or uncertainty characterisation used in the passage. || sound_reasoning (Sound reasoning) [0.2904]: Linking alternatives, information and values to justify why a course was preferred.",,,insufficient_evidence,,,,,top retrieved DQ cards lacked explicit process evidence in text,Sparse DQ is acceptable; non-observation ≠ absence.,All top-3 retrieved JEE candidates rejected by inclusion/exclusion rules.,journal_cache_decision_evidence_source_quote__framework_card_embeddings,True,insufficient_evidence,insufficient_evidence,,,,high,"The passage does not explain the subject, purpose or public-health function of the further work and reports, so there is insufficient evidence to determine whether a JEE capacity is involved.",insufficient_evidence,,,,high,"The excerpt is an inquiry question and does not provide observable evidence of information use, reasoning, values, alternatives or implementation commitment.",policy_content,"This traceable excerpt asks whether the witness contributed to a decision to commission further work and reports, but it does not contain the answer or explain what the work concerned. The candidate decision is therefore too weakly supported for a JEE or Decision Quality mapping.",AL,2026-07-27,complete,,2026-07-27T01:39:51.382699+00:00,2026-07-27T01:39:51.382699+00:00,f0d1dd0b5d41
phase1-295,2023-12-13,The LGA urges the adoption of many more technical recommendations made in Mr Lloyd's witness statement.,"My Lady, many more technical recommendations have been made in Mr Lloyd's witness statement, which I shall not repeat but urge you to adopt.","My Lady, many more technical recommendations have been made in Mr Lloyd's witness statement, which I shall not repeat but urge you to adopt.",True,[],other_candidate,P1:0.2463; P4:0.2177; R2:0.2154,0.2463; 0.2177; 0.2154,"P1 (Legal instruments) [0.2463]: Legal instruments are in place in all relevant sectors to support IHR implementation including core capacity development and maintenance. || P4 (Antimicrobial resistance (AMR)) [0.2177]: Decisive and comprehensive action to prevent the emergence and spread of AMR, which poses a substantial and evolving threat to disease control and health securi || R2 (Linking public health and security authorities) [0.2154]: Development and implementation of a MoU or other similar framework outlining roles, responsibilities and best practices for sharing relevant information between",,,no_supported_mapping,,,,P1:no_inclusion_cue_overlap_and_moderate_or_low_similarity; P4:unlikely_area_without_textual_inclusion_support; R2:no_inclusion_cue_overlap_and_moderate_or_low_similarity,The LGA urges the adoption of many more technical recommendations made in Mr Lloyd's witness statement.,False,True,commitment_to_follow_through:0.2792; useful_information:0.2642; clear_values:0.2456,0.2792; 0.2642; 0.2456,"commitment_to_follow_through (Commitment to follow through) [0.2792]: Evidence of intent or mechanism to implement or act on the chosen course. || useful_information (Useful information) [0.2642]: Relevant facts, data, modelling, advice or uncertainty characterisation used in the passage. || clear_values (Clear values) [0.2456]: Stated preferences, priorities or trade-offs that identify what mattered in the choice.",,,insufficient_evidence,,,,,top retrieved DQ cards lacked explicit process evidence in text,Sparse DQ is acceptable; non-observation ≠ absence.,All top-3 retrieved JEE candidates rejected by inclusion/exclusion rules.,journal_cache_decision_evidence_source_quote__framework_card_embeddings,True,recommendation,insufficient_evidence,,,,high,"The passage refers to technical recommendations in another witness statement but does not describe their content, so there is insufficient evidence to assign a JEE technical area.",insufficient_evidence,,,,high,"The passage urges adoption of unspecified recommendations but provides no observable evidence of their framing, supporting information, alternatives, values, reasoning or implementation mechanism.",policy_content,"This traceable passage urges the Inquiry to adopt unspecified technical recommendations contained in Mr Lloyd's witness statement. Because those recommendations are not stated in the entry, there is insufficient evidence for either a JEE or Decision Quality mapping.",AL,2026-07-27,complete,,2026-07-27T01:41:25.715646+00:00,2026-07-27T01:41:25.715646+00:00,f0d1dd0b5d41
phase1-316,2023-12-14,The time for denial is over and this Inquiry should say so when spelling out what went wrong and why.,"We say, my Lady, and we say it respectfully, the time for denial is over and this Inquiry should say so when spelling out what went wrong and why.","We say, my Lady, and we say it respectfully, the time for denial is over and this Inquiry should say so when spelling out what went wrong and why.",True,[],recommendation,RE:0.1962; P3:0.1664; R5:0.1645,0.1962; 0.1664; 0.1645,"RE (Radiation emergencies) [0.1962]: Timely detection and effective response to potential radiological emergencies and nuclear accidents in a cross-sectoral coordinated manner. || P3 (IHR coordination, National IHR Focal Point functions and advocacy) [0.1664]: A mechanism for multisectoral/multidisciplinary coordination, communication and partnerships to detect, assess and respond to any public health event or risk. A || R5 (Risk communication and community engagement) [0.1645]: Responsible entities actively listen, respond to concerns of the public and effectively engage the public and communicate, through media, social media, mass awa",,,no_supported_mapping,,,,RE:unlikely_area_without_textual_inclusion_support; P3:no_inclusion_cue_overlap_and_moderate_or_low_similarity; R5:no_inclusion_cue_overlap_and_moderate_or_low_similarity,The time for denial is over and this Inquiry should say so when spelling out what went wrong and why.,False,True,sound_reasoning:0.2854; commitment_to_follow_through:0.2702; helpful_frame:0.2628,0.2854; 0.2702; 0.2628,"sound_reasoning (Sound reasoning) [0.2854]: Linking alternatives, information and values to justify why a course was preferred. || commitment_to_follow_through (Commitment to follow through) [0.2702]: Evidence of intent or mechanism to implement or act on the chosen course. || helpful_frame (Helpful frame) [0.2628]: Clarifying what is being decided and what is not, including purpose, scope and perspective (Decision Education Foundation).",,,insufficient_evidence,,,,,top retrieved DQ cards lacked explicit process evidence in text,Sparse DQ is acceptable; non-observation ≠ absence.,All top-3 retrieved JEE candidates rejected by inclusion/exclusion rules.,journal_cache_decision_evidence_source_quote__framework_card_embeddings,True,procedural_or_inquiry,procedural_or_inquiry,,,,high,The passage concerns what the Inquiry should state in its findings and does not evidence a public-health preparedness or response capacity.,procedural_or_inquiry,,,,high,The passage is an appeal concerning the Inquiry's conclusions rather than observable evidence from a substantive policy decision process.,inquiry_procedure,"This traceable passage urges the Inquiry to state clearly what went wrong and why. It is an evaluative appeal about the Inquiry's findings, not a substantive COVID policy decision or a recommendation for government action.",AL,2026-07-27,complete,,2026-07-27T05:37:00.953396+00:00,2026-07-27T05:37:00.953396+00:00,d5af39dd997f
phase1-082,2023-11-30,The hearing will resume at 10 o'clock tomorrow.,"The hearing adjourned until 10 am on Friday, 1 December 2023.","The hearing adjourned until 10 am on Friday, 1 December 2023",True,"[""procedural""]",other_candidate,P1:0.1554; P4:0.1477; P3:0.1450,0.1554; 0.1477; 0.1450,"P1 (Legal instruments) [0.1554]: Legal instruments are in place in all relevant sectors to support IHR implementation including core capacity development and maintenance. || P4 (Antimicrobial resistance (AMR)) [0.1477]: Decisive and comprehensive action to prevent the emergence and spread of AMR, which poses a substantial and evolving threat to disease control and health securi || P3 (IHR coordination, National IHR Focal Point functions and advocacy) [0.1450]: A mechanism for multisectoral/multidisciplinary coordination, communication and partnerships to detect, assess and respond to any public health event or risk. A",,,insufficient_evidence,,,,P1:no_inclusion_cue_overlap_and_moderate_or_low_similarity; P4:unlikely_area_without_textual_inclusion_support; P3:no_inclusion_cue_overlap_and_moderate_or_low_similarity,The hearing will resume at 10 o'clock tomorrow.,False,True,commitment_to_follow_through:0.1523; sound_reasoning:0.1445; helpful_frame:0.1328,0.1523; 0.1445; 0.1328,"commitment_to_follow_through (Commitment to follow through) [0.1523]: Evidence of intent or mechanism to implement or act on the chosen course. || sound_reasoning (Sound reasoning) [0.1445]: Linking alternatives, information and values to justify why a course was preferred. || helpful_frame (Helpful frame) [0.1328]: Clarifying what is being decided and what is not, including purpose, scope and perspective (Decision Education Foundation).",,,insufficient_evidence,,,,,top retrieved DQ cards lacked explicit process evidence in text,Sparse DQ is acceptable; non-observation ≠ absence.,All top-3 retrieved JEE candidates rejected by inclusion/exclusion rules.,journal_cache_decision_evidence_source_quote__framework_card_embeddings,True,procedural_or_inquiry,procedural_or_inquiry,,,,high,The passage concerns the scheduling and adjournment of the Inquiry hearing and does not evidence any public-health preparedness or response capacity.,procedural_or_inquiry,,,,high,The passage records an administrative hearing arrangement rather than a substantive policy decision-making process.,inquiry_procedure,This traceable entry records the adjournment of the Inquiry hearing until a specified date and time. It is entirely procedural and has no JEE or substantive Decision Quality mapping.,AL,2026-07-27,complete,,2026-07-27T05:43:29.557284+00:00,2026-07-27T05:43:29.557284+00:00,d5af39dd997f
